smiles_id,group_id,smiles
31539_19,O_0,C=CC(=CC)[C@@H]1CC(=O)c2c(O)cc(O)cc2O1
31623_0,C_0,[CH][C@H](C)[C@@H](O)[C@@H](C)CC(C)(C)O
31623_1,C_0,[CH]C(=O)[C@@]1(C[C@H](C)[C@H](O)[C@@H](C)[C@@H]([CH])O)CO1
31623_2,C_0,[CH][C@H](C)[C@@H](O)[C@@H](C)C[C@]1(C(=O)[C@@H]([CH])C)CO1
31623_3,C_0,[CH][C@H](O)[C@@H](C)C(=O)[C@@]1(C[C@H](C)[C@@H]([CH])O)CO1
31623_4,C_0,[CH][C@@H](C)C[C@]1(C(=O)[C@@H]([CH])C)CO1
31623_5,O_0,[CH][C@@H](C)C[C@]1(C(=O)[C@@H]([CH])C)CO1
31623_6,C_0,[CH][C@H](C)[C@H](O)[C@@H](C)C(=O)[C@@]1(C[C@@H]([CH])C)CO1
31623_7,O_0,[CH]C[C@]1(C(=O)[C@H](C)[C@H]([CH])O)CO1
31623_8,C_0,[CH]C[C@]1(C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)O)CO1
31623_9,C_0,[CH][C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)O
31623_10,C_0,CO[C@H](C)[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)O
31623_11,O_0,[C]C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)O
31623_12,C_0,[C]C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC([CH])=O
31623_13,C_0,CO[C@H](C)[C@H](C)[C@H](O)C(C)C
31623_14,C_0,[CH][C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](O)C(C)C
31623_15,C_0,[CH]C(=O)O[C@H](C)[C@H](C)[C@@H]([CH])O
31623_16,O_1,[CH][C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@@H]([CH])O
31623_17,C_0,[CH]O[C@@H]([C@@H]([CH])C)[C@@H](C)C(=O)O[C@H](C)[C@@H]([CH])C
31623_18,O_0,[CH][C@H](O)[C@@H](C)C(=O)O[C@@H]([CH])C
31623_19,C_0,[CH][C@H](O)[C@@H](C)[C@H](O[C@@H](C)O)[C@@H](C)C(=O)O[C@@H]([CH])C
31623_20,C_0,[CH]OC(=O)[C@H](C)[C@@H](O[CH])[C@@H]([CH])C
31623_21,C_0,[CH]C[C@@H](O[CH])O[C@@H]([C@H](C)[C@@H](O)C(C)C)[C@@H](C)C(=O)O[CH]
31623_22,O_0,[CH][C@H](O)[C@@H](C)[C@H](O[C@H]1C[C@H](O)[CH][C@H](C)O1)[C@@H](C)C(=O)O
31623_23,C_0,[CH][C@@H](C)[C@H](O[C@H]1C[C@H](O)[C@@H](O)[C@H](C)O1)C(C)C
31623_24,C_0,[CH]C([CH])O[C@H]1C[C@H](O)[C@@H](O)[C@H](C)O1
31623_25,C_0,[CH]O[C@H]1C[C@H](O)[C@@H](O)[C@H](C)O1
31623_26,O_0,C[C@@H]1O[C@@H](O)C[C@H](O)[C@H]1O
31623_27,C_0,C[C@@H]1O[C@@H](O)C[C@H](O)[C@H]1O
31623_28,O_0,C[C@@H]1O[CH]C[C@H](O)[C@H]1O
31623_29,C_0,[CH]O[C@H]1C[C@H](O)[C@@H](O)[C@H](C)O1
31623_30,C_0,C[C@@H]1O[C@@H](O)C[C@H](O)[C@H]1O
31623_31,O_0,[CH]C([CH])O[C@H]1C[C@H](O)[C@@H](O)[C@H](C)O1
31623_32,C_0,[C]C[C@H](C)[C@H](O)[C@@H](C)[C@H](O[C@@H](C)O)[C@@H](C)C(=O)O
